item_definition,itemID,category,diminutive
lustro,item_249,household,
majtki,item_164,clothing,
makaron/kluski,item_105,food_drink,
malować,item_462,action_words,
mama/mamusia,item_349,people,
mandarynka,item_106,food_drink,
marchewka,item_107,food_drink,
masło/margaryna,item_108,food_drink,
mało,item_581,quantifiers,
małpa,item_31,animals,
mały,item_395,descriptive_words (adjectives),
mee/bee,item_6,sounds,
miasto,item_319,places,
miau,item_5,sounds,
mieszkać,item_464,action_words,
mieć (ma),item_463,action_words,
miotła,item_251,household,
miska,item_252,household,
miód,item_110,food_drink,
mięso,item_109,food_drink,
miś/niedźwiedź,item_32,animals,
mleko,item_111,food_drink,
mocno,item_419,descriptive_words (adverbs),
mokro,item_420,descriptive_words (adverbs),
mokry,item_397,descriptive_words (adjectives),
morze,item_320,places,
most,item_299,outside,
motor/motocykl,item_62,vehicles,
motylek,item_33,animals,
może,item_640,modal_adverbs,
mrówka,item_34,animals,
mróz,item_300,outside,
mucha,item_35,animals,
musieć (musi),item_467,action_words,
muu [krowa],item_7,sounds,
my/nas/nam,item_604,pronouns_personal,
mydło,item_254,household,
myszka,item_36,animals,yes
myć (się),item_468,action_words,
myśleć,item_469,action_words,
móc (może),item_465,action_words,
mój,item_609,pronouns_personal,
mówić/powiedzieć,item_466,action_words,
mądry,item_396,descriptive_words (adjectives),
młotek,item_253,household,
na (np. na stole),item_650,prepositions,
na dwór/na pole,item_321,places,
na dół/na dole,item_555,locations,
na górę/na górze,item_554,locations,
na pewno,item_641,modal_adverbs,
naleśniki,item_112,food_drink,
naprawdę,item_642,modal_adverbs,
naprawiać/reperować,item_470,action_words,
nasz,item_613,pronouns_personal,
nazywać się,item_471,action_words,
nic,item_620,pronouns_demonstrative,
nici,item_255,household,
nie,item_368,games_routines,
nie ma,item_542,action_words,
niebo,item_301,outside,
niektóry,item_598,quantifiers,
nieść/nosić,item_472,action_words,
nigdy,item_569,time_words,
nigdzie,item_560,locations,
nikt,item_621,pronouns_demonstrative,
nisko,item_553,locations,
noc/w nocy,item_577,time_words,
nocnik,item_256,household,
noga,item_188,body_parts,
nos,item_189,body_parts,
nowy,item_399,descriptive_words (adjectives),
nożyczki,item_257,household,
nóż,item_258,household,
o (np. o kotku),item_652,prepositions,
obiad,item_370,games_routines,
obraz,item_259,household,
obrazek,item_146,toys,
obudzić (się),item_473,action_words,
od (np. od wujka),item_653,prepositions,
odkurzacz,item_217,furniture_rooms,
ogień,item_302,outside,
oglądać/obejrzeć,item_474,action_words,
ogórek,item_114,food_drink,
okno,item_218,furniture_rooms,
oko,item_190,body_parts,
okulary,item_260,household,
on/go/mu,item_602,pronouns_personal,
ona/ją/jej,item_603,pronouns_personal,
oni/one/ich/je/im,item_606,pronouns_personal,
opowiadać,item_475,action_words,
orzechy,item_113,food_drink,
otwarty,item_400,descriptive_words (adjectives),
otworzyć,item_476,action_words,
ołówek,item_147,toys,
"pa, pa!",item_366,games_routines,
pająk,item_37,animals,
palec,item_191,body_parts,
palić (się),item_477,action_words,
paluszki,item_115,food_drink,
pan,item_350,people,
pani,item_351,people,
pantofle/kapcie,item_165,clothing,
park/ogród,item_322,places,
parówka/kiełbaska,item_116,food_drink,yes
pasek,item_166,clothing,
patrzeć (patrz),item_478,action_words,
paznokcie/pazurki,item_192,body_parts,yes
pewnie,item_643,modal_adverbs,
pi pi pi/ćwir ćwir,item_8,sounds,
piasek/piaskownica,item_303,outside,
picie,item_117,food_drink,
pieluszka/pampers,item_167,clothing,
pieniądze,item_261,household,
pierogi,item_118,food_drink,
pies,item_38,animals,
pingwin,item_39,animals,
pisak/długopis,item_149,toys,
pisać,item_480,action_words,
pić,item_479,action_words,
piękny/śliczny,item_401,descriptive_words (adjectives),
piłka,item_148,toys,
piżama,item_168,clothing,
placek,item_119,food_drink,
plecy,item_194,body_parts,
pluć,item_481,action_words,
"po (np. po lesie, po wodę)",item_654,prepositions,
po co?/na co?,item_635,question_words,
pociąg,item_63,vehicles,
poczta,item_323,places,
pod (np.pod stołem),item_655,prepositions,
podobać się,item_483,action_words,
poduszka,item_262,household,
podwórko,item_324,places,
podłoga,item_219,furniture_rooms,
pogotowie/karetka,item_64,vehicles,
pokazać,item_484,action_words,
pokój,item_220,furniture_rooms,
policjant,item_352,people,
policzek,item_195,body_parts,
pomarańcza,item_120,food_drink,
pomidor,item_121,food_drink,
pomóc,item_485,action_words,
potem/później,item_566,time_words,
pożyczyć,item_486,action_words,
praca,item_325,places,
pracować,item_487,action_words,
pralka,item_222,furniture_rooms,
prasować,item_489,action_words,
prać,item_488,action_words,
prezent,item_150,toys,
prosić,item_490,action_words,
proszę,item_363,games_routines,
prysznic,item_223,furniture_rooms,
przecież,item_644,modal_adverbs,
"przed (np. przed sklepem, przed obiadem)",item_656,prepositions,
przepraszam,item_364,games_routines,
przyjść,item_491,action_words,
przykryć,item_492,action_words,
przynieść,item_493,action_words,
prędko/szybko,item_421,descriptive_words (adverbs),
ptaszek,item_40,animals,yes
pudełko,item_263,household,
pupa,item_196,body_parts,
puścić,item_494,action_words,
pyszny,item_402,descriptive_words (adjectives),
półka/regał,item_221,furniture_rooms,
pępek,item_193,body_parts,
płakać,item_482,action_words,
płot,item_304,outside,
radio,item_264,household,
rajstopy/rajtuzy,item_169,clothing,
rano,item_575,time_words,
razem,item_593,quantifiers,
robak,item_41,animals,
robić,item_495,action_words,
rodzynki,item_122,food_drink,
rosół,item_123,food_drink,
rower,item_65,vehicles,
rozmawiać,item_496,action_words,
ryba,item_42,animals,
ryba,item_124,food_drink,
rysować,item_497,action_words,
ryż,item_125,food_drink,
rzeka,item_326,places,
rzucać,item_498,action_words,
ręcznik,item_265,household,
ręka,item_197,body_parts,
rękawiczki,item_170,clothing,
sam/sama,item_592,quantifiers,
samolot,item_66,vehicles,
sanki,item_305,outside,
schody,item_224,furniture_rooms,
schować,item_499,action_words,
ser,item_126,food_drink,
serce,item_198,body_parts,
siedzieć,item_500,action_words,
siostra,item_353,people,
siusiu/siku/sisi,item_372,games_routines,yes
się,item_607,pronouns_personal,
skakać,item_501,action_words,
skarpetki,item_171,clothing,
sklep,item_327,places,
skończyć,item_502,action_words,
skóra,item_199,body_parts,
smoczek,item_151,toys,
sobie,item_608,pronouns_personal,
sok,item_127,food_drink,
sos,item_128,food_drink,
sowa,item_44,animals,
spacer,item_328,places,
spać,item_504,action_words,
spodnie,item_172,clothing,
sprzątać,item_505,action_words,
sroczka kaszkę warzyła,item_376,games_routines,
statek,item_67,vehicles,
stać,item_506,action_words,
stołek,item_225,furniture_rooms,
stukać/pukać,item_507,action_words,
stół,item_226,furniture_rooms,
stąd,item_549,locations,
sufit,item_227,furniture_rooms,
sukienka,item_173,clothing,
sweter,item_174,clothing,
swój,item_616,pronouns_personal,
synek,item_354,people,
syrop,item_267,household,
szafa,item_228,furniture_rooms,
szalik,item_175,clothing,
