english,polish,alternatives
layer,powłoka,warstwa|ˈleɪə
layman,amator,nieprofesjonalista|ˈleɪmən
layoff,zwolnienie,ˈleɪɒf
layout,rozmieszczenie,rozplanowanie|ˈleɪaʊt
laze,leniuchować,leɪz
lazy,leniwy,ˈleɪzɪ
lb,"libra
  funt",
lcd,[komp]  ekran ciekłokrystaliczny,ˌ$⋅⋅$ˈ$⋅$
lea,wydział oświaty,ˌ$⋅⋅$ˈ$⋅$
lead,instrument]  prowadzący,"lead
i.   1.  prowadzić   
 2.  [np. buntowi]  przewodzić
 3.  [nakłaniać]  doprowadzać
ii.   1.  [do czegoś]  prowadzenie
 2.  [wzór]  dobry przykład|przewód
 5.  [w filmie]  główna rola
 6.  [do zrobienia czegoś]  wskazówka
iii.   1.  [głos|przykład
 3.  [dla psa]  smycz
 4.  [elektryczny]  kabel|rysik"
leaden,"1.  ołowiany
 2.  ciężki jak z ołowiu",ciężki|ˈledən
leader,1.  lider,"prowadzący|przywódca
 2.  lider|ˈli:də"
leadership,"i.    kierownictwo
ii.    cechy dowódcze",ˈli:dəʃɪp
leading,czołowy,wiodący|ˈli:dɪŋ
leaf,"i.   1.  liść
 2.  in leaf 
 - pokryty liśćmi
ii.  leaf through   przekartkowywać",li:f
leaflet,ulotka,ˈli:flɪt
leafy,"1.  liściasty
 2.  pokryty zielenią",ˈli:fɪ
league,"1.  liga
 2.  związek
 3.  in league with  
 - w sprzymierzeniu z kimś",li:g|w sprzymierzeniu z
leak,i.   1.  przeciekać,"li:k|uciekać
 2.  wyciekać
 3.  przedostawać się 
ii.    przeciek  [także sekretu]
iii.  leak out   przedostawać się"
leaky,cieknący,nieszczelny|ˈli:kɪ
lean,i.   1.  pochylać się,"li:n|na kogoś)
ii.   1.  [człowiek]  szczupły
 2.  [mięso|na kogoś)  (upon sb - kogoś|okres czasu]  chudy"
leaning,1.  ciągota,"pochylony|skłonność
 2.  krzywy|ˈli:nɪŋ"
leap,i.   1.  skakać w górę,"li:p|li:p ˈjɪə|rok przestępny|skakać
 2.  przeskakiwać
ii.    skok 
iii.  leap at   rzucać się 
iv.  leap year"
learn,1.  uczyć się,"lɜ:n|nauczyć się
 2.  dowiadywać się"
learned,uczony,ˈlɜ:nɪd
learning,głęboka wiedza,wiedza|ˈlɜ:nɪŋ
lease,dzierżawić,"i.    dzierżawa|li:s|najem
ii.    wynajmować"
leash,li:ʃ,smycz
least,"1.  najmniej
 2. the least  najmniejszy
 3.  at least 
 - przynajmniej
 4.  not in the least 
 - w ogóle
 5.  to say the least 
 - co najmniej",li:st
leather,skóra,ˈleðə
leathery,"1.  skórzasty
 2.  łykowaty",ˈleðərɪ
leave,"i.   1.  zostawiać
 2.  [np. szkołę]  opuszczać
 3.  [np. o pociągu]  odjeżdżać","li:v|odchodzić
 4.  [żonę]  porzucać
 5.  [spadek|pozostawiać   
ii.   1.  [np. wypoczynkowy]  urlop
 2.  [np. lekarskie]  zwolnienie
 3.  [w wojsku]  przepustka
 4.  take one's leave 
 - pożegnać się
iii.  leave off   pomijać 
iv.  leave out   opuszczać|sprawę]  pozostawiać"
lebanese,"i.    libański
ii.    libańczyk",lebəˈni:z
lebanon,liban,ˈlebənɒn
lecherous,lubieżny,ˈleʧərəs
lectern,pulpit,ˈlektən
lecture,"i.    wykład
ii.   1.  wykładać
 2.  prawić kazanie",ˈlekʧə
lecturer,docent,wykładowca|ˈlekʧərə
ledge,1.  półka skalna,"leʤ|półka
 2.  parapet"
ledger,księga główna,księga rachunkowa|ˈleʤə
leech,li:ʧ,pijawka
leek,li:k,por
leer,"i.    lubieżny uśmieszek
ii.    uśmiechać się lubieżnie",lɪə
leeway,luz,rezerwa|ˈli:weɪ
left,"i.    lewa strona
ii.    lewy
iii.    lewo",
lefthand,"1.  lewostronny
 2.  lewy",left-hand|z lewej ręki  [uderzenie]|ˈlefthænd
lefthanded,left-handed,leworęczny|ˌleftˈhændɪd
leftist,"i.    lewicowiec
ii.    lewicowy",ˈleftɪst
leftluggage office,biuro rzeczy znalezionych,left-luggage office|ˌleft ˈlʌgɪʤ ɒfɪs
leftover,"i.    pozostały
ii.   leftovers  resztki",ˈleftəʊvə
leftwing,left-wing,lewicowy|ˌleftˈwɪŋ
leftwinger,left-winger,lewicowiec|ˌleftˈwɪŋə
leg,"1.  [też stołu]  noga
 2.  nogawka
 3.  etap",część
legacy,1.  spadek,"legat
 2.  spuścizna|ˈli:gəsɪ"
legal,"1.  legalny
 2.  prawny",ˈli:gəl
legality,legalność,lɪˈgælɪtɪ
legalize,legalizować,ˈli:gəlaɪz
legend,legenda,ˈleʤənd
legendary,legendarny,ˈleʤəndərɪ
leggings,getry,ˈlegɪŋz
legible,czytelny,ˈleʤɪbəl
legion,"1.  legion
 2.  chmara",ˈli:ʤən
legislate,ustanawiać prawa,ˈleʤɪsleɪt
legislation,prawodawstwo,ustawodawstwo|ˌleʤɪˈsleɪʃən
legislative,legislacyjny,prawny|ˈleʤɪslətɪv
legislature,legislatura,ˈleʤɪsləʧə
legitimate,"1.  legalny
 2.  [dziecko]  ślubny
 3.  uzasadniony",lɪˈʤɪtɪmət|właściwy
leipzig,lipsk,ˈlaɪptsɪg
leisure,"1.  czas wolny
 2.  at  leisure  :leisure)
 - bez pośpiechu",ˈleʒə
leisurely,"i.    nieśpieszny
ii.    nieśpiesznie",ˈleʒəlɪ
lemon,cytryna,ˈlemən
lemonade,lemoniada,ˌleməˈneɪd
lend,"1.  pożyczać 
 2.  użyczać","udzielać
 3.  przydawać
 4.  lend oneself 
 - poddawać się  
 5.  lend sb a hand 
 - pomagać komuś"
lender,kredytodawca,ˈlendə
lengthen,wydłużać,ˈleŋθən
lengthy,długi,wydłużony|ˈleŋkθɪ
lenient,pobłażliwy,ˈli:nɪənt
lens,"1.  soczewka
 2.  obiektyw",lenz
lent,wielki post,
lentil,soczewica,ˈlentɪl
leo,lew  [znak zodiaku],ˈli:əʊ
leopard,lampart,ˈlepəd
leotard,trykot,ˈlɪətɑ:d
leper,trędowaty,ˈlepə
leprosy,trąd,ˈleprəsɪ
lesbian,"i.    lesbijski
ii.    lesbijka",ˈlezbɪən
less,"co najmniej
 4.  no less 
 - ni mniej ni więcej
 5.  no less than 
 - nie mniej","i.    mniejszy
ii.    mniej
iii.   1.  odjąwszy
 2.  less and less 
 - coraz mniej
 3.  less than 
 - co najmniej nie|les|niż"
lessen,zmniejszać,zmniejszać się|ˈlesən
lesser,"1.  mniejszy
 2.  pomniejszy",ˈlesə
lesson,"1.  lekcja
 2.  nauka",korzyść|ˈlesən
lest,aby nie,
letdown,rozczarowanie,zawód|ˈletdaʊn
lethal,zabójczy,ˈli:θəl
lethargic,letargiczny,lɪˈθɑ:ʤɪk
letter,"i.   1.  list
 2.  litera
ii.    listowy",ˈletə
letterbox,skrzynka pocztowa,ˈletəbɒks
lettering,liternictwo,ˈletərɪŋ
letterquality,letter-quality,wysoka jakość  [druku]|ˌletə ˈkwɒlətɪ
lettuce,sałata,ˈletəs
letup,let-up,zelżenie|ˈletʌp
leukaemia,białaczka,leukemia|lu:ˈki:mɪə
leukemia,białaczka,leukaemia|lu:ˈki:mɪə
levelheaded,level-headed,zimnokrwisty|zrównoważony|ˌlevəl ˈhedɪd
lever,"i.   1.  dźwignia
 2.  uchwyt","rączka
ii.    podważać|ˈli:və"
leverage,"1.  nacisk
 2.  siła dźwigni",ˈli:vərɪʤ
levity,lekkomyślność,płochość|ˈlevɪtɪ
levy,"i.    pobranie
ii.    pobierać",ściągać|ˈlevɪ
lewd,pożądliwy,ˈlu:d
liability,"1.  podatność
 2.  [nieform]  ciężar","laɪəˈbɪlɪtɪ|skaranie boskie
 3. liabilities  [termin]  płatności|zobowiązania
 4.  [praw]  odpowiedzialność|zobowiązania pieniężne"
liable,"1.  [form]  podatny 
 2.  odpowiedzialny 
 3.  be liable to 
 - móc",ˈlaɪəbəl
liaise,lɪˈeɪz,współpracować
liaison,1.  porozumienie,"lɪˈeɪzən|łączność
 2.  [form]  związek miłosny"
liar,kłamca,ˈlaɪə
lib,"lib.
  liberalny",
libel,oszczerstwo,zniesławienie|ˈlaɪbəl
libellous,libelous,oszczerczy|ˈlaɪbələs
libelous,libellous,oszczerczy|ˈlaɪbələs
liberal,"i.   1.  liberalny
 2.  hojny","obfity
ii.    liberał|ˈlɪbərəl"
liberate,"1.  uwalniać
 2.  oswobadzać",spod czegoś)|wyzwalać (from sth - od czegoś|ˈlɪbəreɪt
liberated,wyzwolony,ˈlɪbəreɪtɪd
liberation,spod czegoś),wyzwolenie (from sth - od czegoś|ˌlɪbəˈreɪʃən
libra,lb,"libra
  funt|waga  [znak zodiaku]|ˈli:brə"
librarian,bibliotekarz,laɪˈbreərɪən
library,biblioteka,ˈlaɪbrərɪ
libya,libia,ˈlɪbɪə
libyan,"i.    libijski
ii.    libijczyk",ˈlɪbɪən
licence,"1.  licencja
 2.  koncesja
 3.  prawo jazdy","license|prawo
 4.  zezwolenie
 5.  abonament
 6.  under licence 
 - na licencji|ˈlaɪsəns"
license,"1.  licencja
 2.  koncesja
 3.  prawo jazdy","licence|prawo
 4.  zezwolenie
 5.  abonament
 6.  under licence 
 - na licencji|wydawać zezwolenie|wydawać zezwolenie licencję"
licensed,"1.  upoważniony
 2.  zarejestrowany
 3.  koncesjonowany do sprzedaży alkoholu",koncesjonowany|ˈlaɪsənst
licentious,laɪˈsenʃəs,rozwiązły
lick,"i.   1.  lizać
 2.  [nieform]  [pobić]  przylać","liźnięcie
 2.  lick sth into shape 
 - nadawać czemuś ostateczny kształt|lɪk|położyć
ii.   1.  polizanie"
lid,"1.  pokrywka
 2.  powieka",lɪd
liedown,lie-down,wypoczynek|ˌlaɪˈdaʊn
lieut,"lieut.
  porucznik",
lieutcol,"lieut.-col.
  podpułkownik",
lieutenant,lefˈtenənt,porucznik
life,"dożywotnie więzienie
iv.  life jacket","długość życia
iii.  life imprisonment|i.   1.  życie
 2.  żywotność
 3.  come to life 
 - ożywiać się
 4.  for life 
 - do końca życia
ii.  life expectancy|kamizelka ratunkowa|laɪf"
lifebelt,pas ratunkowy,ˈlaɪfbelt
lifeboat,łódź ratunkowa,ˈlaɪfbəʊt
lifeguard,ratownik,ˈlaɪfgɑ:d
lifeless,"1.  bez życia
 2.  nieżywotny
 3.  beznamiętny",ˈlaɪflɪs
lifelike,jak żywy,ˈlaɪflaɪk
lifeline,lina ratunkowa,ˈlaɪflaɪn
lifelong,na całe życie,na życie|ˈlaɪflɒŋ
lifesize,life-size,naturalnej wielkości|ˌlaɪfˈsaɪz
lifespan,1.  długość życia,"trwanie|życie
 2.  żywotność|ˈlaɪfspæn"
lifetime,1.  całe życie,"życie
 2.  trwanie|ˈlaɪftaɪm"
lift,i.   1.  podnosić się,"lɪft|podnosić
 2.  [np. ograniczenia]  znosić
 3.  [nieform]  [odpisywać]  zrzynać 
 4.  [nieform]  [ukraść]  zwędzić
ii.   1.  [w budynku]  winda
 2.  [samochodem]  podwiezienie
 3.  give sb a lift 
 - podwozić kogoś
iii.  lift off   startować"
ligament,wiązadło,ˈlɪgəmənt
light,"[komp]   pióro świetlne
vii.  light up  1.  rozświetlać się","[komp]   światłowód|dzień
 b.
      ""it is light""  - jasno
 4.  in the light of 
 - z punktu widzenia
iv.  light bulb|i.   1.  zapalać
 2.  [np. dom]  oświetlać
ii.   1.  [naświetlenie]  światło
 2.  [np. zapałki]  ogień
iii.   1.  [kolor|kabel światłowodowy
vi.  light pen"
lighten,1.  rozjaśniać się,"rozjaśniać
 2.  zmniejszać wagę|ˈlaɪtən"
lighter,"lighter
   zapalniczka",
lightheaded,light-headed,oszołomiony|ˌlaɪtˈhedɪd
lighthearted,"1.  beztroski
 2.  wesoły",humorystyczny|light-hearted|ˌlaɪtˈhɑ:tɪd
lighthouse,latarnia morska,ˈlaɪthaʊs
lighting,oświetlenie,ˈlaɪtɪŋ
lightly,beztrosko,lekkomyślnie|ˈlaɪtlɪ
lightning,"[br]   piorunochron
iv.  lightning rod","[us]   piorunochron|i.    błyskawica
ii.    błyskawiczny
iii.  lightning conductor|ˈlaɪtnɪŋ|ˈlaɪtnɪŋ kəndʌktə"
lightweight,lekki,ˈlaɪtweɪt
lightyear,light-year,rok świetlny|ˈlaɪtjɪə
likable,likeable,miły|sympatyczny|ˈlaɪkəbəl
likeable,likable,miły|sympatyczny|ˈlaɪkəbəl
likelihood,możliwość,prawdopodobieństwo|ˈlaɪklɪhʊd
likely,"1.  możliwy
 2.  odpowiedni
 3.  he is likely to do it 
 - on pewnie to zrobi
 4.  very","most likely 
 - najprawdopodobniej|ˈlaɪklɪ"
likeminded,laɪkˈmaɪndɪd,like-minded|podobnie myślący
liken,przyrównywać,ˈlaɪkən
likeness,podobieństwo,ˈlaɪknɪs
likewise,podobnie,ˈlaɪkwaɪz
liking,upodobanie,ˈlaɪkɪŋ
lilac,"i.    bez
ii.    liliowy",ˈlaɪlək
lilt,lɪlt,zaśpiew
lily,lilia,ˈlɪlɪ
limb,kończyna,lɪm|odnóże
limber up,przygotowywać się,ćwiczyć|ˌlɪmbərˈʌp
limbo,zapomnienie,zawieszenie|ˈlɪmbəʊ
lime,"1.  wapno
 2.  lipa
 3.  [rodzaj cytryny]  lima",laɪm|limeta
limelight,światła rampy,ˈlaɪmlaɪt
limerick,limeryk,ˈlɪmərɪk
limitation,ograniczenie,ˌlɪmɪˈteɪʃən
limited,"1.  ograniczony
 2.  [br]  o ograniczonej odpowiedzialności",ˈlɪmɪtɪd
limitless,nieograniczony,ˈlɪmɪtlɪs
limousine,limuzyna,ˌlɪməˈzi:n
limp,i.    kuleć,"kuśtykanie
iii.   1.  wiotki
 2.  bezwładny|kuśtykać
ii.    kulenie|lɪmp"
linear,"1.  linearny
 2.  liniowy",ˈlɪnɪə
linen,"i.   1.  len
 2.  bielizna
ii.   1.  lniany","płócienny
 2.  bieliźniany|ˈlɪnɪn"
liner,1.  liniowiec,"statek transatlantycki
 2.  worek foliowy  [na śmieci]|ˈlaɪnə"
linesman,sędzia liniowy,ˈlaɪnzmən
lineup,line-up,skład|ugrupowanie|ˈlaɪnʌp
linger,"1.  utrzymywać się 
 2.  bawić gdzieś",bawić|ˈlɪŋgə
lingerie,bielizna damska,ˈlɒnʒərɪ
linguistic,językoznawczy,lɪŋgˈwɪstɪk
linguistics,językoznawstwo,lɪŋgˈwɪstɪks
lining,1.  podszewka,"podbicie
 2.  wyściółka|ˈlaɪnɪŋ"
link,"i.   link up  łączyć   
ii.   1.  związek   
 2.  połączenie 
 3.  ogniwo",lɪŋk
linkage,związek,ˈlɪŋkɪʤ
links,boisko do golfa,lɪŋks
linkup,połączenie,ˈlɪŋkʌp
lion,lew,ˈlaɪən
lioness,lwica,ˈlaɪənɪs
lip,lɪp,warga
lipread,czytać z warg,lip-read|ˈlɪpri:d
lipservice,lip-service,"pay sb lip-service 
 - składać komuś deklaracje bez pokrycia|ˈlɪpsɜ:vɪs"
lipstick,kredka do ust,ˈlɪpstɪk
liquefy,"1.  stopić
 2.  skroplić",ˈlɪkwɪfaɪ
liqueur,likier,lɪˈkjʊə
liquid,"i.    ciecz
ii.    ciekły",płynny|ˈlɪkwɪd
liquidate,likwidować,ˈlɪkwɪdeɪt
liquidcrystal display,"liquid-crystal display 
  ekran ciekłokrystaliczny",
liquor,alkohol,trunek|ˈlɪkə
lisbon,lizbona,ˈlɪzbən
lisp,"i.    seplenić
ii.    seplenienie",lɪsp
list,i.    lista,"lɪst|spis
ii.   1.  wypisywać|wyszczególniać
 2.  umieszczać na liście"
listen,i.   1.  słuchać się,"słuchać 
 2.  nasłuchiwać 
ii.  listen in   podsłuchiwać|ˈlɪsən"
listener,słuchacz,ˈlɪsənə
listless,osowiały,ˈlɪstlɪs
litany,litania,ˈlɪtənɪ
liter,litr,litre|ˈli:tə
literacy,umiejętność czytania i pisania,ˈlɪtərəsɪ
literal,"1.  dosłowny
 2.  literalny",ˈlɪtərəl
literary,"1.  literacki
 2.  poetycki",ˈlɪtərərɪ
literate,"1.  piśmienny
 2.  dobrze wykształcony",ˈlɪtərət
literature,"1.  literatura
 2.  piśmiennictwo",ˈlɪtrəʧə
lithuania,litwa,ˌlɪθjʊˈeɪnɪə
lithuanian,"i.    litewski
ii.    litwin",ˌlɪθjʊˈeɪnɪən
litigate,procesować się,ˈlɪtɪgeɪt
litigation,sprawa,spór sądowy|ˌlɪtɪˈgeɪʃən
litre,liter,litr|ˈli:tə
litter,"i.   1.  śmieci
 2.  miot","lęg
ii.    zaśmiecać|ˈlɪtə"
liturgy,liturgia,ˈlɪtəʤɪ
live,"live
i.   1.  żyć
 2.  mieszkać
 3.  [życie]  prowadzić","przetrwać
 2.  żywić się
 3.  trwać
iv.  live up to  1.  [pozycję]  dotrzymywać
 2.  [oczekiwania]  spełniać
v.   1.  [rośliny]  żywy
 2.  [transmisja]  bezpośredni
 3.  [przewód elektr.]  pod napięciem
 4.  [pocisk]  uzbrojony
 5.  [przedstawienie]  na żywo|spędzać
ii.  live down   zmazywać
iii.  live on  1.  przeżywać"
livelihood,źródło utrzymania,ˈlaɪvlɪhʊd
lively,"1.  żywy
 2.  ożywiony",ˈlaɪvlɪ
liven up,ożywiać,ożywiać się|ˌlaɪvən ˈʌp
liver,wątroba,ˈlɪvə
livestock,trzoda,ˈlaɪvstɒk
livid,"1.  [nieform]  rozjuszony
 2.  zsiniały",ˈlɪvɪd
living,"i.   1.  żyjący
 2.  mieszkalny
ii.   1.  utrzymanie
 2.  make a living 
 - utrzymywać się
 3.  do sth for a living 
 - utrzymywać się z czegoś
iii.  living room",pokój dzienny|salonik|ˈlɪvɪŋ|ˈlɪvɪŋ ru:m
lizard,jaszczurka,ˈlɪzəd
llama,[zwierzę]  lama,ˈlɑ:mə
lmt,czas lokalny,ˌ$⋅⋅$ˈ$⋅$
loaded,1.  załadowany,"obładowany
 2.  naładowany
 3.  [nieform]  nadziany
 4.  podchwytliwy|ˈləʊdɪd"
loaf,bochenek,ləʊf
loan,"i.    pożyczać 
ii.   1.  pożyczka","kredyt
 2.  pożyczenie|kredyt bankowy|ləʊn"
loathe,ləʊð,nie cierpieć
loathing,obrzydzenie,wstręt|ˈləʊðɪŋ
lobby,"grupa nacisku
ii.    wywierać presję","i.   1.  hall|westybul
 2.  lobby|ˈlɒbɪ"
lobe,ləʊb,płatek  [ucha]
lobster,homar,ˈlɒbstə
local,"1.  lokalny
 2.  miejscowy",ˈləʊkəl
locality,ləʊˈkælɪtɪ,miejsce
locate,"1.  wynajdować
 2.  lokować",ləʊˈkeɪt
location,"1.  umiejscowienie
 2.  miejsce
 3.  on location 
 - w plenerze",ləʊˈkeɪʃən
loch,jezioro,ˈlɒk
lock,"and barrel 
 - wszystko","blokować się
 3.  [w walce]  zwierać się
ii.   1.  [w drzwiach]  zamek
 2.  [na kanale]  śluza
 3.  [włosów]  lok
 4.  lock|i.   1.  zamykać na zamek|lɒk|stock"
locker,schowek,schowek na bagaż|ˈlɒkə
locket,medalion,ˈlɒkɪt
locomotive,lokomotywa,ˌləʊkəˈməʊtɪv
locust,szarańcza,ˈləʊkəst
lodge,"domek
ii.   1.  lokować","i.    domek dozorcy|lɒʤ|przebywać
 2.  utkwić
 3.  pozostawać
 4.  [form]  składać"
lodger,lokator,sublokator|ˈlɒʤə
lodging,"1.  zakwaterowanie
 2. lodgings  wynajęte mieszkanie",ˈlɒʤɪŋ
loft,lɒft,strych
lofty,"1.  [form]  wyniosły
 2.  wzniosły",ˈlɒftɪ
loggerheads,"be at loggerheads 
 - kłócić się",ˈlɒgəhedz
logic,logika,ˈlɒʤɪk
logical,logiczny,ˈlɒʤɪkəl
logistics,logistyka,ləˈʤɪstɪks
loins,"1.  lędźwie
 2.  genitalia",lɔɪnz
loiter,marudzić,zwlekać|ˈlɔɪtə
loll,"1.  rozwalać się
 2.  zwieszać się","lɒl|wywieszać|zwieszać
 3.  wywieszać się"
lollipop,lizak,ˈlɒlɪpɒp
lolly,"1.  lizak
 2.  lody na patyku
 3.  [pieniądze]  flota",ˈlɒlɪ
london,"i.    londyn
ii.    londyński",ˈlʌndən
londoner,londyńczyk,ˈlʌndənə
lone,jedyny,ləʊn|pojedynczy
lonely,"1.  samotny
 2.  osamotniony",ˈləʊnlɪ
loner,samotnik,ˈləʊnə
lonesome,osamotniony,ˈləʊnsəm
long,"long.
  długość",
longdistance,"1.  długodystansowy
 2.  zamiejscowy",long-distance|ˌlɒŋ ˈdɪstəns
longevity,długowieczność,lɒnˈʤevɪtɪ
longitude,długość,długość geograficzna|ˈlɒŋɪtju:d
longlife,długotrwały,long-life|o przedłużonej trwałości|ˌlɒŋˈlaɪf
longlived,długowieczny,long-lived|ˌlɒŋˈlɪvd
longplaying,"a. długogrający
 b.
      ""long-playing record""  - płyta długogrająca analogowa
 c.
      ""long-playing record""  - płyta długogrająca",long-playing|ˌlɒŋ ˈpleɪɪŋ
longrange,dalekiego zasięgu,dalekosiężny|long-range|ˌlɒŋˈreɪnʤ
longsighted,dalekowzroczny,long-sighted|ˌlɒŋˈsaɪtɪd
longstanding,długotrwały,long-standing|ˌlɒŋˈstændɪŋ
longterm,"1.  długoterminowy
 2.  in the long term 
 - w ostatecznym rezultacie",long-term|ˌlɒŋˈtɜ:m
longwinded,long-winded,rozwlekły|ˌlɒŋˈwɪndɪd
loo,lu:,ubikacja
lookout,1.  czujka,"czata
 2.  miejsce obserwacyjne
 3.  be on the lookout for 
 - wypatrywać|wyglądać|wyglądać
 4.  keep a lookout for 
 - wypatrywać|ˈlʊkaʊt"
loom,budzić duże zaniepokojenie,"i.   1.  zarysowywać się|lu:m|wyłaniać się
 2.  nadciągać|zbierać się
ii.   1.  krosno
 2.  loom large 
 - odgrywać ważną rolę"
loony,"i.    szajbnięty
ii.    szajbus",ˈlu:nɪ
loop,"i.    pętla
ii.   1.  obwiązywać
 2.  robić pętlę",lu:p
loophole,furtka,luka|ˈlu:phəʊl
loose,1.  luźny,"lu:s|set loose 
 - oswobadzać się
 6.  be at a loose end 
 - nie mieć co ze sobą zrobić|sypki
 2.  swobodny
 3.  [przest]  rozwiązły
 4.  let loose 
 - oswobadzać
 5.  cut"
loosen,1.  rozluźniać się,"poluźniać
 2.  poluzowywać|poluźniać się|rozluźniać|ˈlu:sən"
loot,"grabić
ii.    [nieform]  łup",i.    łupić|lu:t
lop,lɒp,odrąbywać  [gałęzie]
lopsided,koślawy,krzywy|ˌlɒpˈsaɪdɪd
lord,"1.  lord
 2.  pan","boże ty mój!''|dobry boże!''
 5.  ``my lord!'' 
 -|lɔ:d|pan
 4.  ``good lord!'' 
 -"
lore,folklor,lɔ:|tradycja
lorry,ciężarówka,ˈlɒrɪ
loser,"i.    przegrywający
ii.   1.  [nieform]  pechowiec
 2.  be the loser 
 - tracić",ˈlu:zə
loss,1.  strata,"lɒs|nie znajdować|utrata
 2.  deficyt
 3.  be at a loss 
 - nie wiedzieć co robić
 4.  be at a loss for  
 - nie znajdować słów"
lost,i.   1.  zgubiony,"lɒst|rzeczy zagubione|spływaj!''
ii.  lost property|zgubiony 
 2.  stracony
 3.  get lost 
 - gubić się
 4.  [nieform]  ``get lost!'' 
 -"
lotion,balsam,płyn kosmetyczny|ˈləʊʃən
lottery,loteria,ˈlɒtərɪ
loud,"i.   1.  głośny
 2.  hałaśliwy 
 3.  krzyczący
ii.   1.  głośno
 2.  out loud 
 - na głos",laʊd
loudspeaker,głośnik,ˌlaʊdˈspi:kə
louisiana,lu:ˌi:zɪˈænə,
lounge,"i.    hall
ii.    rozkładać się","laʊnʤ|rozwalać się
iii.  lounge suit|ubranie na co dzień|ˈlaʊnʤsu:t"
louse,laʊs,wesz
lousy,"1.  wszawy
 2.  do dupy",ˈlaʊzɪ
lout,chuligan,laʊt
lovable,uroczy,ˈlʌvəbəl
loveless,"1.  [małżeństwo]  bez miłości
 2.  [człowiek]  nie kochany",ˈlʌvlɪs
lovely,cudowny,wspaniały|ˈlʌvlɪ
lovemaking,kochanie się  [spółkowanie],love-making|ˈlʌvmeɪkɪŋ
lover,"1.  kochanek
 2.  miłośnik",ˈlʌvə
loving,"1.  kochający
 2.  czuły",ˈlʌvɪŋ
lowcut,głęboko wycięty,low-cut|wydekoltowany|ˈləʊkʌt
lower,ceny]  obniżać,"i.   1.  niższy
 2.  dolny
ii.   1.  [o przedmiocie]  opuszczać 
 2.  [poziom|zaniżać
 3.  [głos]  zniżać|ˈləʊə"
lowkey,dyskretny,low-key|z rezerwą|ˌləʊˈki:
lowlands,niziny,ˈləʊləndz
lowly,niski,skromny|ˈləʊlɪ
loyal,lojalny,ˈlɔɪəl
loyalty,"1.  lojalność
 2.  wierność",przywiązanie|ˈlɔɪəltɪ
lozenge,tabletka,tabletka do ssania|ˈlɒzɪnʤ
lp,płyta długogrająca,płyta długogrająca analogowa|ˌ$⋅$ˈ$⋅$
lq,$⋅$ˈ$⋅$,[komp]  wysoka jakość  [druku]
lsd,ˌ$⋅⋅$ˈ$⋅$,
lst,czas lokalny,ˌ$⋅⋅$ˈ$⋅$
lt,"lt.
  porucznik",
ltcol,"lt.-col.
  podpułkownik",
ltd,"ltd.
  z o.o.",z ograniczoną odpowiedzialnością
lubricate,smarować,ˈlu:brɪkeɪt
lucid,1.  [form]  przejrzysty,"zrozumiały
 2.  przytomny
 3.  [lit]  jasny|ˈlu:sɪd"
luck,"1. good luck  szczęście
 2.  bad luck 
 - pech
 3.  ``bad","ale pech''
 4.  ``*good|best of* luck'' 
 -|hard luck'' 
 -|lʌk"
luckily,na szczęście,ˈlʌkɪlɪ
lucky,"1.  szczęśliwy 
 2.  przynoszący powodzenie",ˈlʌkɪ
lucrative,lukratywny,ˈlu:krətɪv
ludicrous,groteskowy,śmieszny|ˈlu:dɪkrəs
lug,lʌg,tachać|taskać
luggage,bagaż,ˈlʌgɪʤ
lugubrious,ləˈgu:brɪəs,pogrzebowy|żałobny
lukewarm,"1.  letni
 2.  niezainteresowany",obojętny|ˌlu:kˈwɔ:m
lull,i.    przerwa,"lʌl|okres ciszy
ii.   1.  ukołysać 
 2.  uśpić"
lullaby,kołysanka,ˈlʌləbaɪ
lumber,"drewno
 2.  [br]  rupiecie
ii.    gramolić się
iii.  lumber with   obarczać",i.   1.  [us]  drewno ścięte|ˈlʌmbə
luminous,fosforyzujący,luminescencyjny|ˈlu:mɪnəs
lump,"bryła
 2.  narośl","guz
 3.  kostka cukru|i.   1.  kawał|kostka
ii.   1.  traktować jednakowo 
 2.  skupiać|kwota ogólna"
lumpy,"1.  wyboisty
 2.  grudowaty",ˈlʌmpɪ
lunacy,szaleństwo,ˈlu:nəsɪ
lunar,księżycowy,ˈlu:nə
lunatic,"i.    [nieform]  szaleniec
ii.    szalony",ˈlu:nətɪk
lunch,i.    lekki obiad,"lunch
ii.    [form]  spożywać obiad
iii.  lunch hour|obiad|pora obiadowa|przerwa obiadowa
iv.  lunch time"
luncheon,lunch,ˈlʌnʧ
lung,lʌŋ,płuco
lunge,"i.    szarpnąć się   
ii.    szarpnięcie się",szarpnięcie|ˈlʌnʤ
lurch,"i.   1.  zataczać się
 2.  skakać 
ii.    zatoczenie się",lɜ:ʧ
lure,"i.    wabić
ii.    przynęta",lʊə
lurid,"1.  okropny
 2.  krzykliwy",ˈlʊərɪd
lurk,czaić się,lɜ:k
luscious,"1.  smakowity
 2.  rewelacyjny",ˈlʌʃəs
lush,1.  bujny,"lʌʃ|wybujały
 2.  luksusowy"
lustful,pożądliwy,ˈlʌstfʊl
lustre,"1.  połysk
 2.  blask",ˈlʌstə
lusty,krzepki,pełen wigoru|ˈlʌstɪ
lute,lu:t,lutnia
luxuriant,"1.  wybujały
 2.  bujny",lʌgˈʒʊərɪənt
